Competitor,Link to model,Agree,BB,CCL-MC,CCL-OPEN,CCL-TF,CCM-MC,CCM-OPEN,CNC-KSK,CCDNER,NQ,CNEC,SQAD32,TQA,CFR,CTK,CNC-DIAL,CNC-E,CNC-F,GEC,CNC-KH,HASG,HIST,HIST-IR,KQA,P-ARG,P-DEMON,P-EMOCE,P-FAB,P-LOK,P-LEP,P-NAZOR,P-REL,P-RUS,P-STCH,P-VINA,P-MER,P-ZANR,S-CSFD,S-FB,S-MALL,SNLI,CNC-SPK,SUBJ,UT-BIO,UT-CHEM,UT-CZEL,UT-HIST,UT-IT,UT-MATH,UT-PHYS
mistralai/Mistral-7B-Instruct-v0.3,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.3,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False
Qwen/Qwen2-7B,https://huggingface.co/Qwen/Qwen2-7B,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,False
meta-llama/Llama-3.2-1B-Instruct,https://huggingface.co/meta-llama/Llama-3.2-1B-Instruct,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True
speakleash/Bielik-11B-v2.3-Instruct,https://huggingface.co/speakleash/Bielik-11B-v2.3-Instruct,True,False,False,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,True,True,False,True,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,https://huggingface.co/Qwen/Qwen2-72B-Instruct,False,False,False,False,False,False,False,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False
google/gemma-2-9b-it,https://huggingface.co/google/gemma-2-9b-it,True,False,False,True,True,False,False,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,False,True,True,False,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False
meta-llama/Meta-Llama-3.1-70B,https://huggingface.co/meta-llama/Meta-Llama-3.1-70B,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False
meta-llama/Meta-Llama-3.1-8B,https://huggingface.co/meta-llama/Meta-Llama-3.1-8B,True,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False
meta-llama/Llama-3.2-3B,https://huggingface.co/meta-llama/Llama-3.2-3B,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False
meta-llama/Meta-Llama-3.1-70B-Instruct,https://huggingface.co/meta-llama/Meta-Llama-3.1-70B-Instruct,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False
microsoft/Phi-3-mini-4k-instruct,https://huggingface.co/microsoft/Phi-3-mini-4k-instruct,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True
mistralai/Mistral-Nemo-Instruct-2407,https://huggingface.co/mistralai/Mistral-Nemo-Instruct-2407,True,False,False,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,False,True,False,True,False,True,False,True,True,True,True,True,True,True,True,False,True,False,False,False,False,False
google/gemma-2-9b,https://huggingface.co/google/gemma-2-9b,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,True,False,True,False,True,False,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False
BUT-FIT/csmpt7b,https://huggingface.co/BUT-FIT/csmpt7b,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True
Qwen/Qwen2-7B-Instruct,https://huggingface.co/Qwen/Qwen2-7B-Instruct,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,False,True,False,True,False,True,True,True,True,True,False,True,True,True,True,False,True,False,False,False
meta-llama/Llama-3.2-3B-Instruct,https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True
allenai/OLMo-7B-Instruct-hf,https://huggingface.co/allenai/OLMo-7B-Instruct-hf,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True
